transcript,label
"This is officer Karan from Enforcement Directorate (ED). We intercepted a package in your name containing mdma drugs and 7 fake passports. You are under digital arrest. Stay on the call and transfer Rs 20,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the CBI cyber cell. Your name is linked to a money laundering case involving 20,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 20,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Delhi Police Cyber Cell inspector. You must keep your video camera on. You cannot leave this room. Send Rs 8,00,000 now to prevent account freezing.",1
"This is officer Rajesh from Delhi Police Cyber Cell. We intercepted a package in your name containing mdma drugs and 7 fake passports. You are under digital arrest. Stay on the call and transfer Rs 4,90,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the Narcotics Control Bureau (NCB) cyber cell. Your name is linked to a money laundering case involving 20,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 20,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Enforcement Directorate (ED) inspector. You must keep your video camera on. You cannot leave this room. Send Rs 1,50,000 now to prevent account freezing.",1
"This is officer Neha from Enforcement Directorate (ED). We intercepted a package in your name containing suspicious chemicals and 3 fake passports. You are under digital arrest. Stay on the call and transfer Rs 20,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the Customs Department cyber cell. Your name is linked to a money laundering case involving 1,50,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 1,50,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Enforcement Directorate (ED) inspector. You must keep your video camera on. You cannot leave this room. Send Rs 50,000 now to prevent account freezing.",1
"This is officer Vikram from Enforcement Directorate (ED). We intercepted a package in your name containing compromised bank cards and 5 fake passports. You are under digital arrest. Stay on the call and transfer Rs 50,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the Customs Department cyber cell. Your name is linked to a money laundering case involving 1,50,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 1,50,000 via UPI immediately.",1
